Query;1. Nicht Zeitlich;2. Explizit Zeitlich;3. Ereignis;4. Mehrdeutig;5. Aktualität
Schengen agreement;X;;;;
marijuana potency;;;;;X
Hoary teats;;;;;X
legal, Pan Am, 103;;;X;;
colorado shooting;;;X;;
antibiotics ineffectiveness;X;;;;
Falkland petroleum exploration;;X;;;
leg traps ban;;X;;;
King Hussein, peace;X;;;;
Legionnaires' disease;X;;;;
what does quotient of a power mean;X;;;;
clothing sweatshops;X;;;;
car rating;;X;;;
what can you do with heart of palm;;;;X;
how much average cost to plan a 8 tree;;;;;X
human genetic code;X;;;;
carnival triumph fire;;;X;;
potato salad;;;;X;
teaching disabled children;X;;;;
ground pear;;;;X;
Endangered Species (Mammals);;;;;X
child labor;;;;;
how many people watch nba basketball;;;;;X
what is wrong with amazon prime;;;;;X
Best Retirement Country;;;;;X
human smuggling;;;X;;
what are the entities of the executive branch;X;;;;
Greenpeace prosecuted;;;;;X
railway accidents;;;X;;
Russia Cuba economy;;;;;X
cities near weeki wachee springs;X;;;;
carbon monoxide poisoning;;;X;;
bulgarian protests;;;X;;
R&D drug prices;;;;;X
OIC Balkans 1990s;X;;;;
automobile recalls;;;X;;
family leave law;;;;;X
osteoporosis;X;;;;
Solar panel kit;X;;;;
Cult Lifestyles;;;;;X
why are the cotswolds so named;X;;;;
european cold wave;;;X;;
queensland floods;;;X;;
what phylum includes the ascaris and the pinworm;X;;;;
"""Women on 20s""";;;;X;
World Bank Criticism;;;;;X
Czechoslovakia breakup;X;;;;
what is a sulfa treat;X;;;;
recipe potato;;;;X;
deregulation, gas, electric;;;;;X
ebola how can it be prevented;;;X;;
romanian protests;;;X;;
define monsieur;X;;;;
how to cook frozen ham steak on nuwave oven;;;;X;
Flavr Savr tomato;X;;;;
what does london breed stand for;;;;;X
opening adoption records;;;;;X
Alan Gross released by Cuba;;X;;;
abortion clinic attack;;;X;;
war games;;;;X;
russia meteor;;;X;;
Iran-Iraq Cooperation;;;;;X
Mandela South Africa President;X;;;;
car hacking;;;;;X
inventions, scientific discoveries;;;;X;
where is the us open golf held this year;;;;;X
quilts, income;;;;X;
egyptian protests;;;X;;
mental illness drugs;;;;X;
Northern Ireland industry;;;;;X
Tiananmen Square protesters;X;;;;
brazzaville explosion;;;X;;
Southern California shooting;;;X;;
cruise health safety;;;;X;
Women in Parliaments;;;;;X
guatemala earthquake;;;X;;
computer viruses;;;;;X
human stampede;X;;;;
Educational Standards;;;;;X
define unstop;X;;;;
rabies;X;;;;
diabetes and toxic chemicals;;;;;
quetta bombing;;;X;;
what type of videos can powerpoint play;X;;;;
Ferry Sinkings;;;X;;
blood-alcohol fatalities;;;X;;
midwest derecho;;;X;;
when a house goes into foreclosure what happens to items on the premises;;;;;X
