query	1. Nicht Zeitlich	2. Explizit Zeitlich	3. Ereignis	4. Mehrdeutig	5. AktualitÌ_t	Notizen
recycle, automobile tires	x					
dismantling Europe's arsenal			x			
recipe veal roti	x					
how often should you take your toddler to the potty when potty training	x					
boston marathon bombing			x			
syracuse law school ranking					x	
how do i insert notes under a slide in powerpoint	x					
whale watching California	x					
alternative medicine	x					
escabeau	x					
tropical storms					x	
robotics	x					
oceanographic vessels	x					
literacy rates Africa					x	
heroic acts					x	
radioactive waste	x					
family-planning aid	x					
what to do if your partner is possessive	x					
used car	x					
UV damage, eyes	x					
Cuba, sugar, exports	x					
Berlin wall disposal			x			
eni customer space					x	
supercritical fluids	x					
konna battle			x			
what does auslan interpreted performance mean	x					
Income Tax Evasion	x					
price fixing	x					
Soviet withdrawal Afghanistan			x			
uss guardian grounding			x			
sick building syndrome	x					
Polygamy Polyandry Polygyny	x					
Leaning Tower of Pisa	x					
email scams	x					
control of MRSA	x					
what phone to use in europe					x	
commercial cyanide uses	x					
compost pile	x					
Africa polio vaccination					x	
territorial waters dispute			x			
wind power location	x					
Sony cyberattack			x			
consumer on-line shopping					x	
declining middle class in U.S.					x	
El Nino					x	
Welsh devolution	x					
shahbag protests			x			
how does magic leap optics work	x					
what does chicken by product meal add to pet food	x					
what does septrin heal	x					
sfr customer space					x	
home child care definition	x					
per capita alcohol consumption					x	
Oscar winner selection			x			
definition secondary trauma	x					
postmenopausal estrogen Britain					x	
Literary/Journalistic Plagiarism	x					
what is unresponsiveness	x					
exotic animals import	x					
description of mesquite plant	x					
Tibet protesters			x			
industrial waste disposal	x					
quran burning protests			x			
L-tryptophan deaths	x					
Ireland, peace talks			x			
ethanol and food prices					x	
how to put together a scuba regulator	x					
Viral Hepatitis	x					
what is the outside of a shape	x					
how to trim blank space in excel	x					
white collar crime sentence					x	
U.S. invasion of Panama			x			
hyderabad explosion			x			
China one-child impact	x					
Abuses of E-Mail	x					
Total Energy				x		Firma oder Allgemein
jury duty exemptions	x					
arrests bombing WTC			x			
baghdad bomb			x			
meteo bordeaux					x	
immigrants Spanish school	x					
tourists, violence	x					
prostate cancer detection treatment	x					
eggs in a healthy diet	x					
tax evasion indicted					x	
suicides	x					
what is the name of a baby nurse	x					
yeast infection md	x					
