query	1. Nicht Zeitlich	2. Explizit Zeitlich	3. Ereignis	4. Mehrdeutig	5. Aktualität	Notizen
college education advantage				x		
bacterial infection mortality rate					x	
why does cat get restless at night	x					
Tobacco cigarette lawsuit					x	
russian protests					x	
offer of employment					x	
food/drug laws	x					
telemarketer protection	x					
Industrial Espionage	x					
U.S. age demographics					x	
transportation tunnel disasters			x			
Islamic Revolution			x			
software piracy	x					
counterfeiting money	x					
ETA Basque terrorism			x			
ADD diagnosis treatment	x					
Stirling engine	x					
encryption equipment export	x					
sosh customer space	x					
how to cook pork tenderloin steaks in oven	x					
organic soil enhancement	x					
what vaccination should u give show piglets	x					
joint custody impact	x					
Thatcher resignation impact	x					
Argentine/British Relations					x	
Ayatollah Khomeini death		x				
Radio Waves and Brain Cancer	x					
aleppo university explosion			x			
how much was the saturn v	x					
how to dilute ceftriaxone vial	x					
steel production	x					
lamb tagine	x					
Pope Beatifications			x			
Most Dangerous Vehicles					x	
Metabolism	x					
Unexplained Highway Accidents					x	
southeast Asia tin mining	x					
Native American casino	x					
Turkey Iraq water				x		
hurricane isaac			x			
Modern Slavery					x	
tourism	x					
Magnetic Levitation-Maglev	x					
part-time benefits	x					
what is cold bridging	x					
haida gwaii earthquake			x			
air traffic controller	x					
Overseas Tobacco Sales	x					
Hydroponics	x					
Hubble Telescope Achievements	x					
Russian food crisis					x	
stuffed potatoes	x					
what to do if antibiotics cause nausea	x					
Jason Rezaian released from Iran			x			
federal minimum wage increase					x	
aceh earthquake			x			
teenage pregnancy	x					
code for history of suicidal statements	x					
cigar smoking	x					
Boston marathon bombing verdict			x			
what is peace in french	x					
space renault				x		
minimum wage adverse impact					x	
creativity	x					
U.S. ethnic population	x					
salmon dams Pacific northwest					x	
how much money do i need in bangkok					x	
Amazon rain forest	x					
free antivirus	x					
British Chunnel impact		x				
motivational theories	x					
Adoptive Biological Parents	x				x	
U.S., investment, Africa						
World Court	x					
safety plastic surgery	x					
car game	x					
American Indian Museum	x					
lead poisoning children					x	
journalist risks					x	
potato patty	x					
Estonia, economy					x	
recipe potato salad	x					
functions of three regions of sm intestine	x					
collins the good to great	x					
chocolate gateau courgette	x					
robotic technology					x	
Black Bear Attacks					x	
cyclone nilam			x			
