topic,title,order,snippet,relevant,page,url,comment
1,python dictionary key error fix,1,1,1,1,https://builtin.com/data-science/keyerror-python,
1,python dictionary key error fix,2,0,1,1,https://rollbar.com/blog/python-keyerror/#,
1,python dictionary key error fix,3,0,1,1,https://realpython.com/python-keyerror/,"“Is it ok to think of this a mentioning of dict or, no other data types at all?”"
1,python dictionary key error fix,4,0,1,1,https://www.freecodecamp.org/news/keyerror-in-python-how-to-fix-dictionary-error/,
1,python dictionary key error fix,5,0,0,1,https://stackoverflow.com/questions/10116518/im-getting-key-error-in-python,
1,python dictionary key error fix,6,0,1,1,https://favtutor.com/blogs/keyerror-python,
1,python dictionary key error fix,7,0,1,1,https://www.datacamp.com/tutorial/python-keyerror,
1,python dictionary key error fix,8,0,1,1,https://www.geeksforgeeks.org/how-to-fix-keyerror-in-python-how-to-fix-dictionary-error/,
1,python dictionary key error fix,9,0,1,1,https://www.learndatasci.com/solutions/python-keyerror/,
1,python dictionary key error fix,10,0,1,1,https://www.turing.com/kb/python-keyerror-exception,
2,Bundestagswahl 2013 FDP result,1,0,0,1,https://www.tagesschau.de/wahl/archiv/2013-09-22-BT-DE/index.shtml,
2,Bundestagswahl 2013 FDP result,2,0,1,1,https://de.wikipedia.org/wiki/Bundestagswahl_2013,
2,Bundestagswahl 2013 FDP result,3,0,0,1,https://www.tagesschau.de/wahl/archiv/2013-09-22-BT-DE/charts/ergebnis-DE-BY/chart_2528614.shtml,
2,Bundestagswahl 2013 FDP result,4,0,1,1,https://de.statista.com/statistik/daten/studie/273040/umfrage/endergebnis-der-bundestagswahl/,
2,Bundestagswahl 2013 FDP result,5,0,0,1,https://www.bundeswahlleiterin.de/info/presse/mitteilungen/bundestagswahl-2013/2013-10-09-endgueltiges-amtliches-ergebnis-der-bundestagswahl-2013.html,
2,Bundestagswahl 2013 FDP result,6,0,0,1,https://www.bundeswahlleiterin.de/info/presse/mitteilungen/bundestagswahl-2013/2013-10-09-endgueltiges-amtliches-ergebnis-der-bundestagswahl-2013.html,
2,Bundestagswahl 2013 FDP result,7,0,1,1,https://www.statistik-bw.de/Service/Veroeff/Monatshefte/20131207,
2,Bundestagswahl 2013 FDP result,8,0,0,1,https://www.faz.net/aktuell/politik/bundestagswahl/bundestagswahl-2013-die-fdp-fliegt-aus-dem-bundestag-17501011.html,“paywall”
2,Bundestagswahl 2013 FDP result,9,0,0,1,https://www.bundeswahlleiterin.de/bundestagswahlen/2013/ergebnisse/bund-99.html,
2,Bundestagswahl 2013 FDP result,10,0,1,1,https://de.statista.com/themen/1286/bundestagswahl-2013/#topicOverview,
3,presidential inauguration USA,1,1,1,1,https://www.aoc.gov/what-we-do/programs-ceremonies/inauguration,“past inaugeration struggling with the narrative”
3,presidential inauguration USA,2,0,0,1,https://www.usa.gov/inauguration,
3,presidential inauguration USA,3,0,1,1,https://en.wikipedia.org/wiki/United_States_presidential_inauguration,
3,presidential inauguration USA,4,0,0,1,https://www.nps.gov/subjects/inauguration/schedule-of-events.htm,
3,presidential inauguration USA,5,0,1,1,https://www.britannica.com/topic/United-States-presidential-inauguration,
3,presidential inauguration USA,6,0,1,1,https://historyinpieces.com/research/presidential-inauguration-dates,
3,presidential inauguration USA,7,0,0,1,https://en.wikipedia.org/wiki/Inauguration_of_Joe_Biden,didn’t include the history
3,presidential inauguration USA,8,0,0,1,https://clintonwhitehouse5.archives.gov/WH/Family/html/inauguration_history.html,doesn’t include the time they are inaugurated
3,presidential inauguration USA,9,0,0,1,https://indianexpress.com/article/when-is/when-is-inauguration-day-all-you-need-to-know-9656364/,doesn’t include that the president takes office
3,presidential inauguration USA,10,0,0,2,https://washington.org/DC-guide-to/presidential-inauguration-washington-dc,
4,python fun facts,1,1,1,1,https://softschools.com/facts/animals/python_facts/9/,
4,python fun facts,2,0,0,1,https://medium.com/pythoneers/10-not-so-known-facts-about-python-programming-c8c4f44dbc02,
4,python fun facts,3,0,1,1,https://hastingsaquarium.co.uk/blog/animal-stories/22-facts-about-pythons/,
4,python fun facts,4,0,1,1,https://www.folly-farm.co.uk/zoo/meet-the-zoo-animals/burmese-python/?srsltid=AfmBOoqzumRTDe5ZopdHpL7O9J6RqT93PKdvqPR3QBbjBN1yJkzvy9d6,
4,python fun facts,5,0,1,1,https://seaworld.org/animals/facts/reptiles/burmese-python/,
4,python fun facts,6,0,0,1,https://www.coolkidfacts.com/python-facts/,
4,python fun facts,7,0,0,1,https://echoglobal.tech/fun-facts-about-python-programming/,
4,python fun facts,8,0,0,1,https://bilginc.com/en/blog/5-interesting-facts-about-python-3404/,
4,python fun facts,9,0,1,1,https://pangovet.com/pet-lifestyle/snakes/ball-python-facts/,
4,python fun facts,10,0,0,2,https://dublincoding.ie/5-interesting-facts-about-python/,
5,premier league standings,1,0,0,1,https://www.premierleague.com/tables,"remark on all: maybe redefining with another search term? no key player statistics found, no upcoming fictures, …"
5,premier league standings,2,0,0,1,https://x.com/premierleague?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,
5,premier league standings,3,0,0,1,https://www.skysports.com/premier-league-table,
5,premier league standings,4,0,0,1,https://www.espn.com/soccer/standings/_/league/eng.1,
5,premier league standings,5,0,0,1,https://www.bbc.com/sport/football/premier-league/table,
5,premier league standings,6,0,0,1,https://www.theguardian.com/football/premierleague/table,
5,premier league standings,7,0,0,1,https://www.goal.com/en/premier-league/table/2kwbbcootiqqgmrzs6o5inle5,
5,premier league standings,8,0,0,1,https://www.eurosport.com/football/premier-league/2024-2025/standings.shtml,
5,premier league standings,9,0,0,1,https://www.football365.com/premier-league/table,
5,premier league standings,10,0,0,2,https://www.football365.com/premier-league/table,
