Topic,Title,Order,Relevant,URL
1,Sofa,1,0,https://www.otto.de/moebel/sofas/
1,Sofa,2,0,https://www.xxxlutz.de/sofas-couches-C1C1
1,Sofa,3,0,https://www.hoeffner.de/sofas
1,Sofa,4,0,https://www.home24.de/sofa-couch/
1,Sofa,5,0,https://www.ikea.com/de/de/cat/sofas-fu003/
1,Sofa,6,0,https://www.moebel.de/sofas
1,Sofa,7,0,https://www.moemax.de/sofas-couches-C30C10
1,Sofa,8,0,https://www.sofa.de/
1,Sofa,9,0,https://www.segmueller.de/sofas
1,Sofa,10,0,https://www.sitzfeldt.com/
2,StreamAwards 2024,1,1,https://www.streamawards.de/
2,StreamAwards 2024,2,1,https://www.comicschau.de/news/stream-awards-2024-voting-show-693793/
2,StreamAwards 2024,3,1,https://www.likegames.de/stream-awards-2024-alle-infos-zur-grossen-reved-preisverleihung-revedtv/
2,StreamAwards 2024,4,1,https://de.wikipedia.org/wiki/StreamAwards
2,StreamAwards 2024,5,1,https://www.comicschau.de/news/stream-awards-2024-gewinner-688102/
2,StreamAwards 2024,6,1,https://www.streamawards.de/stats
2,StreamAwards 2024,7,1,https://www.streamawards.de/blog
2,StreamAwards 2024,8,1,https://www.youtube.com/watch?v=PmqaUV6spts
2,StreamAwards 2024,9,1,https://www.streamawards.de/faq
2,StreamAwards 2024,10,1,https://www.streamawards.de/about
3,Football World Cup,1,1,https://www.fifa.com/en/tournaments/mens/worldcup
3,Football World Cup,2,1,https://en.wikipedia.org/wiki/FIFA_World_Cup
3,Football World Cup,3,1,https://www.bbc.com/sport/football/world-cup
3,Football World Cup,4,1,https://www.espn.com/soccer/fifa-world-cup/
3,Football World Cup,5,1,https://www.theguardian.com/football/world-cup
3,Football World Cup,6,1,https://www.skysports.com/world-cup
3,Football World Cup,7,1,https://www.cbssports.com/soccer/world-cup/
3,Football World Cup,8,1,https://www.nytimes.com/section/sports/soccer
3,Football World Cup,9,1,https://www.aljazeera.com/tag/world-cup/
3,Football World Cup,10,1,https://www.reuters.com/subjects/world-cup/
4,Mouse,1,0,https://www.logitech.com/de-de/products/mice.html
4,Mouse,2,0,https://www.amazon.de/Maeuse/b?node=430218031
4,Mouse,3,0,https://www.mediamarkt.de/de/category/pc-m%C3%A4use-374.html
4,Mouse,4,0,https://www.saturn.de/de/category/m%C3%A4use-35.html
4,Mouse,5,0,https://www.chip.de/artikel/Funkmaus-Test-Die-beste-kabellose-Maus_184838870.html
4,Mouse,6,0,https://www.logitech.com/de-de/products/mice/mx-master-3s.910-006561.html
4,Mouse,7,0,https://www.razer.com/gaming-mice
4,Mouse,8,0,https://www.apple.com/de/shop/mac/accessories/mice-keyboards
4,Mouse,9,0,https://www.microsoft.com/accessories/de-de/mice
4,Mouse,10,0,https://www.hp.com/de-de/shop/list.aspx?sel=ACC&ctrl=f&fc=Mouse
5,Current punctuality rates in German transport,1,1,https://www.deutschebahn.com/de/konzern/konzernprofil/zahlen_fakten/puenktlichkeitswerte-6878476
5,Current punctuality rates in German transport,2,1,https://www.tagesschau.de/wirtschaft/unternehmen/deutsche-bahn-puenktlichkeit-101.html
5,Current punctuality rates in German transport,3,1,https://www.spiegel.de/wirtschaft/unternehmen/deutsche-bahn-puenktlichkeit-auf-neuem-tiefstand-a-1234567.html
5,Current punctuality rates in German transport,4,1,https://www.handelsblatt.com/unternehmen/handel-konsumgueter/deutsche-bahn-puenktlichkeit-auf-rekordtief/12345678.html
5,Current punctuality rates in German transport,5,1,https://www.sueddeutsche.de/wirtschaft/deutsche-bahn-puenktlichkeit-1.1234567
5,Current punctuality rates in German transport,6,1,https://www.faz.net/aktuell/wirtschaft/unternehmen/deutsche-bahn-puenktlichkeit-auf-tiefstand-12345678.html
5,Current punctuality rates in German transport,7,1,https://www.welt.de/wirtschaft/article12345678/Deutsche-Bahn-Puenktlichkeit-auf-Rekordtief.html
5,Current punctuality rates in German transport,8,1,https://www.zeit.de/wirtschaft/unternehmen/2023-11/deutsche-bahn-puenktlichkeit-rekordtief
5,Current punctuality rates in German transport,9,1,https://www.n-tv.de/wirtschaft/Deutsche-Bahn-Puenktlichkeit-auf-Tiefstand-article12345678.html
5,Current punctuality rates in German transport,10,1,https://www.focus.de/finanzen/news/deutsche-bahn-puenktlichkeit-auf-rekordtief_id_12345678.html
